游玩规则与指南|游戏规则很简单：\n由[c]主持人[/]给出一个简单的故事背景（简称[r]汤面[/]）。\n\n而[y]其他人则需要不停地提问[/]，从而还原出完整的故事。\n\n其中[c]主持人[/]只能回答：\n(是)、(不是)、(是也不是) 或者 (不重要)。\n\n[r]最后完全还原出故事真相就算成功！[/]\n\n你也可以在右侧的本地输入框内手动输入汤面或汤底,并点击"发送"按钮发送到同步的大屏幕。\n----------------------------------\n[t]文本排版与颜色[/]\n注意：实际打字时，请务必将以下示例中的中文全角［］切换为英文半角[]才会生效。\n\n1. 结构标签规则\n放大的标题和副标题需要标签包裹，正文直接书写即可：\n• [r]［t］大标题内容［/］[/]\n• [r]［st］副标题内容［/］[/]\n\n2. 换行分段规则\n在输入框内打字时，直接按下[r]【回车键】[/]即可换行。\n\n3. 文字变色规则\n用颜色标签包裹需要变色的文字\n• [r]［颜色首字母］你要写的字［/］[/]\n支持的颜色首字母有：\n[r]r[/]（红）、[o]o[/]（橙）、[y]y[/]（黄）、[g]g[/]（绿）、[c]c[/]（青）、[b]b[/]（蓝）、[p]p[/]（紫）\n----------------------------------\n[t]\n举例:\n[/]\n输入内容为：\n----------------------------------\n［st］提示信息［/］\n游戏即将开始，\n请大家［y］做好准备［/］。\n----------------------------------\n显示内容为：\n----------------------------------\n[st]提示信息[/]\n游戏即将开始，\n请大家[y]做好准备[/]\n---------------------------------|111|简单
2|222|22|中等
3|333|33|困难
1|111|2|困难
1|111|2|困难
1|111|2|困难
1|111|2|困难
1|111|2|困难
1|111|2|困难
1|111|2|困难
1|111|2|困难
1|111|2|困难
1|111|2|困难
1|111|2|困难
1|111|2|困难
1|111|2|困难
1|111|2|困难
1|111|2|困难
1|111|2|困难
1|111|2|困难
1|111|2|困难
1|111|2|困难
1|111|2|困难
1|111|2|困难
1|111|2|困难
1|111|2|困难
